timestamp,question,answer,reason,source
2026-04-17 23:47:50,hi my name is riyad ,"Hello Riyad, If you're seeking assistance related to accessible apps and software resour resources, I would recommend checking out the Diversity and Ability website website. There, you can filter for free software options and consider upgra upgrading to a 'Pro' version based on your financial situation. For further further assistance or to book an EDU-Tech Drop-in session, feel free to con contact them at 0208 223 4444 or email ddac@uel.ac.uk, providing your full availability and preferred appointment type. If you're facing personal, emotional, or mental health difficulties, the St Student Wellbeing Service is there to support you. You can book an initial appointment by emailing wellbeing@uel.ac.uk or contacting the Student Hub a at 0208 223 4444. The team consists of Mental Health Practitioners, Counsel Counsellors, and Therapists, available Monday to Friday from 9 am to 5 pm. For additional resources, you can find information on coping and improving mental and emotional wellbeing, stress management workshops, counselling se services, and more on the university's Student Wellbeing Service website. Lastly, if you have any questions or need assistance related to your admiss admission, please contact the Admissions team at +44 (0)20 8223 3333 (Monda (Monday to Friday, 9:00 am to 5:00 pm) or via Live Chat. If needed, they ca can assist with uploading documents, submitting a clearing application, and and more. Take care of yourself, Riyad, and don't hesitate to reach out for support w when you need it.",Automatic failure flag,Fullform.pdf
2026-04-17 23:49:25,enrolment ,"Online enrolment is mandatory for all students at UEL, both new and return returning, each academic year or new study period. This process requires st students to provide necessary information and tuition fee payments through UEL DIRECT. Students will receive an invitation by email ahead of each new enrolment period, with the deadline specified in the email. Typically, the enrolment deadline for UEL students is 14 days after the cou course start date; however, this may vary for students studying with some p partnership institutions. If a student fails to enroll before the deadline, deadline, they can request an extension through the 'authority to enrol' (A (ATE) process. This request must be approved by their course leader, UEL’s Finance department, and the International Compliance team (where applicable applicable). If students have any concerns about sharing their disability or support inf information, they are encouraged to contact the Disability & Dyslexia Team for assistance. For more details on the enrolment process and other service services offered at UEL, you can visit the Student Hub section of the Unive University's website.",Automatic failure flag,Fullform.pdf
2026-04-17 23:51:58,hi i need help,"Hello! I'm here to help. If you need assistance, the best way to get in to touch with the University of East London Student Hub is by calling them at 0208 223 4444. They'll be able to provide you with the support you need. If If your question is regarding a specific issue or policy, it would be benef beneficial to have that information handy when you call so they can assist you more efficiently.",Automatic failure flag,Fullform.pdf
2026-04-17 23:53:12,enrolment,"Enrolment at the University of East London (UEL) is a mandatory process th that all new and returning students must complete each academic year or in each new year of study. This process involves providing necessary informati information and paying tuition fees through UEL DIRECT. Students will recei receive an invitation to enrol via email ahead of each new academic year or or enrolment period. New students will receive emails to both their personal and UEL email addre addresses, while returning students will only receive the invitation to the their UEL email address. The deadline for enrolment is specified in the enr enrolment invitation email, with the typical enrolment deadline being 14 da days after the course start date. Students who fail to complete online enrolment by the deadline may request an extension via the 'Authority to Enrol' (ATE) process. This request must be approved by a student's school or faculty, and once approved, students s should contact the Disability & Dyslexia Team for assistance in arranging t their support. For more information on letter requests, Council Tax Exemption Letters, Awa Award Letters, Finish Letters/Course Completion Letters, Replacement Certif Certificates, Certified Copy of Certificate, and other services provided by by the Student Hub, please refer to the UEL's Contents page.",Automatic failure flag,Fullform.pdf
2026-04-17 23:54:56,i need help with enrolment ,"To complete your enrolment at the University of East London, you must foll follow these steps: 1. You will receive an invitation to enrol via email ahead of each new acad academic year or new enrolment period. New students will receive emails to their personal and UEL email addresses, while returning students will only receive it to their UEL email address. 2. Once you receive your invitation, log in to UEL DIRECT to complete the o online enrolment process. 3. It's essential that you enrol as soon as possible and no later than the deadline specified in your enrolment invitation email. Typically, the enrol enrolment deadline for UEL students is 14 days after the course start date, date, though students studying with some of UEL’s partnership institutions may have longer to enrol. 4. If you miss the enrolment deadline or encounter any issues during the pr process, contact the Student Hub at ddac@uel.ac.uk or call 0208 223 4444 fo for assistance.",Automatic failure flag,Fullform.pdf
2026-04-17 23:56:50,help me with my timetable,"To help you with your timetable, here's a step-by-step guide on how to acc access it at University of East London: 1. Log in to UEL Direct, the university's online student portal, using your your credentials. 2. Navigate to the 'Student Services' tab and select 'Timetables'. 3. You will find your current timetable displayed on the screen. If it hasn hasn't been published yet, check back later as they are usually made availa available before the start of each academic term. 4. Each entry in your timetable includes essential information such as the module name, the day and time of the lecture or seminar, and the location w where the session will be held. If you encounter any issues accessing your timetable or have questions abou about specific modules, consider contacting the Student Hub for assistance: assistance: - Phone: 0208 223 4444 - Email: studenthub@uel.ac.uk They are available Monday to Friday from 9 am to 5 pm. Good luck with your studies!",Automatic failure flag,Fullform.pdf
2026-04-17 23:57:01,help me with my timetable,"To help you with your timetable, here's a step-by-step guide on how to acc access it at University of East London: 1. Log in to UEL Direct, the university's online student portal, using your your credentials. 2. Navigate to the 'Student Services' tab and select 'Timetables'. 3. You will find your current timetable displayed on the screen. If it hasn hasn't been published yet, check back later as they are usually made availa available before the start of each academic term. 4. Each entry in your timetable includes essential information such as the module name, the day and time of the lecture or seminar, and the location w where the session will be held. If you encounter any issues accessing your timetable or have questions abou about specific modules, consider contacting the Student Hub for assistance: assistance: - Phone: 0208 223 4444 - Email: studenthub@uel.ac.uk They are available Monday to Friday from 9 am to 5 pm. Good luck with your studies!",User marked as not helpful,Fullform.pdf
2026-04-18 00:26:39,"i just withdrawn, can i get money back ","If you have recently withdrawn from your studies at the University of East East London (UEL), you may be entitled to a refund depending on the circums circumstances and the timeline of your withdrawal. According to the Tuition Fee Policy, if you withdraw within 2 weeks of the course start, you may be eligible for a full refund. However, beyond this t timeframe, students become responsible for paying course fees based on thei their last date of engagement with their studies. This can include attendin attending classes, accessing course materials online, or participating in o off-campus locations. For international students who have travelled to the UK on a Student Visa a and are thinking about withdrawing, it's important to note that this would affect your legal status in the UK. If you wish to request a refund of any fees paid, including the non-refundable deposit, you will need to submit a stage 1 complaint. This process can be found via the Tuition Fees Policy, s section 6.2.7. If you have received a maintenance loan while at UEL and withdraw or go on a break, the loan company may ask for that money back immediately as they w will no longer consider you a student. For any questions about this, please please contact the Student Money Advice & Rights Team (SMART). In order to request a refund, you will need to provide evidence that you ha have left the UK or switched to a different visa after being officially wit withdrawn from the university. If you believe your situation qualifies as ' 'exceptional circumstances' and wish to request a refund of the non-refunda non-refundable deposit, you may submit a stage 1 complaint to be considered considered by the Dean of the relevant School or equivalent academic area, in agreement with the Director of Finance or his/her nominee. For further assistance regarding your financial situation, please contact t the Student Hub via 0208 223 4444.",Automatic failure flag,Fullform.pdf
2026-04-18 00:29:01,What does the UEL fee policy say about tuition fee payment deadlines?,"The University of East London (UEL) provides a specified deadline for tuit tuition fee payments through the online enrolment process. Students should complete their online enrolment as soon as possible and no later than the d deadline stated in their enrolment invitation email. Typically, the enrolme enrolment deadline for UEL students is 14 days after the course start date, date, though students studying with some of UEL’s partnership institutions may have longer to enrol. If a student fails to meet the enrolment and tuition fee payment deadlines, deadlines, they may request an extension via the 'authority to enrol' (ATE) (ATE) process. However, this requires approval from their course leader or head of department, UEL’s Finance department, and the International Complia Compliance team (where applicable). If approved, students will receive a fu further 7 days to complete online enrolment. In case a student encounters queries about tuition fee payments, bursaries, bursaries, or scholarships related to UEL pre-entry short courses, they sho should contact the Student Hub via 0208 223 4444 for further assistance as Credit Control advisors are not able to provide financial advice. The SMART SMART team can give financial advice if required.",Automatic failure flag,Fullform.pdf
2026-04-18 00:29:39,"whats the tuition fee policy , use the tuition fee policy form ","To determine your tuition fee status at the University of East London, you you will need to complete the Fee Status Questionnaire. This questionnaire requires supporting evidence such as: 1. A copy of the relevant pages of your passport (confirming name and natio nationality) for students from outside the UK/EU. 2. Three years of utility bills and payslips (for a single month from each of the three years preceding the start of your course) to prove residence i in the UK for the three years immediately before the start of the course an and not for full-time education. The Fee Status Questionnaire specifies the documentation required depending depending on your situation, and assessments cannot be carried out until yo you have made an application for admission and been offered a place at the university. Once you have been offered a place, you will need to complete online enrolm enrolment in UEL DIRECT, which is mandatory for all students each academic year or new enrolment period. Please note that if you fail to complete onli online enrolment, you cannot study at UEL and may be withdrawn. If you require further assistance regarding tuition fees or any other finan financial matters, please contact the Student Hub via 0208 223 4444 for gui guidance. The Credit Control Advisors are not able to provide financial adv advice; however, the Student Money Advice and Rights Team (SMART) can give you the necessary support. If the information is not available on this docu document, I am unable to provide information on this topic. For further ass assistance, please contact the hub via 0208 223 4444.",Automatic failure flag,Fullform.pdf
